class,feature_2,feature_3,feature_4,feature_5,feature_7,feature_9,feature_11,feature_12,feature_13,feature_14,feature_16,feature_17,feature_18,feature_19,feature_20,feature_22,"feature_8,feature_15","feature_21,feature_10","feature_1,feature_6"
p,A#,a@,v,l,*f,a&,e,@u,e,,t,@e,e,t&,j,,"&o,e","*t,u","b,o&"
e,,,v,l@,f,*a,e,u&,e,K*,,,d,u,,,"O,J","u,u*","i,o"
e,h*,*a,,l,D,*V,Q#,,e,@Y,t,j,w#,t,J,@u,"*C,J","&t,u","I,O"
e,#d,&a,v@,l,f,,q,l&,p,w,l,J,&d,l,j@,U&,"c,j@","l,u","@h,e"
p,m#,a,#v,l,h*,a,e@,&u,e,m@,T,i,,a,H,u,,"A,W","b,e"
e,d*,,v,l,,,q,d,e,,t,h,&w,,,&u,"c,j","@t,u","&i,o"
p,M,a,v,,#F,A,e,*b,E,k*,t,#i,e@,u,H*,u,"c,i","d,w#","b,e"
p,#D,#d,@v,,&f,?@,q,a,#e,u,&t,j,&h,t,,u,"*O,J","T,C","t,e"
p,h@,,v  ,l&,h&,A@,q,u@,e,m,#T,&i  ,e,u,e,*U,"c,i@","u,w","b,e"
e,d,,,,@v,?#,@i,h,P@,w,l,j,d,&l,@J,u#,"c,j","l,u#",
p,,@d,v,l*,f&,,q@,t,e,k,t#,,,#t,@e,u,"c,i","d,c","t,e"
p,,a,v,#l,,@A,q,u&,,u,t#,@i,e,&u,,u#,"c,i","d,w#","B,E@"
p,,d@,V,#l,,?,q#,a,e,,t&,j,j,u*,h*,u#,"o,i&","t,c",
p,m,a,v@,,f@,#a,q*,u,#e,@m,t@,i,e,d,*h  ,,"c,i*","A,W","B,E"
p,,#a,V@,l,f,&a,@q,b,e,*u,&t,,e,d&,,U,"c,i","u,w","b,e#"
e,D,#a,v#,*l,f,a,q,&t,E,k,T,*J,#D,,,u,"o,j","u,u*","*i,o"
p,h&,a,#v,l,@h,@a,e,b@,e,m,#t,,e,a,h&,u*,,"&u,w","b,e"
p,*C,d*,v,l,@F,?#,e,a,e&,u,t&,i,e,,h,u@,"o,i#",,
p,*m,a&,,&l,F*,a,e,u,e&,k@,t@,,e, a ,h,*u,"c,i","&u,w","@b,e"
p,&d,d,v&,l,f  ,?, q ,A,e#,&w,@t, i &,@e,U,@j,u,"o,j*","&U,C","t,e@"
e,,a,v*,l,h,&z,@e,&T,e,u,t,*h,@p,T,H#,u,"c,j*",,"d,o"
e,&c,a*,,#o,,&?,i@,@t,e&,@t,#t,j  ,@d,&t,h*,,,"t,c@","t,o@"
e,,*a,v@,l*,f@,a  ,e#,,@e,K,T,J,#D,U@,e,U&,"O,J","m,u*","d,o*"
e,@m,D,v*,,#f,c,q,u*,&e,n,T,&j,D  ,&t,&e,#u,,"t,u&","@d,e"
e,#t,a,*t,l#,J#,c,*E,d,e,m,T&,e#,d,@t,e#,,"o,j"," t,c *","*I,E"
p,A*,a#,,o,f&,A@,#a,#t,*e, y ,,*j,d,*t,# j ,U  ,"c,j","&T,U","*z,o"
e,&h,a,v,l,j,V,,t,E,m&,t,j,w,t,j*,u,"c,j*","t,u"," d,o "
e,t,d&,t,l,f@,a#,e,d&,e,*K,,,&w,&t,j*,#u,"o,j@","t,u*","D,O"
p,&T,A,v#,,f, A ,*a,t,#e,m,@t,*j,*d,@t,h,#u,,"t,u","#z,o"
e,C,a*,v,l*,F,a, q ,u  ,e,k&,t,*j,d*,,h,@U,"o,j#","T,U","i,o"
e,d,a,v,L@,h#,&A,q,t*,e,k,t&,j,,*t,e@,u,"&O,J","#u,u","d,o"
p,&D,#d,V  ,,@f,?,q,a,e,k*,T,i,j&,u,j,u*,"o,j#","t,c",
p,d,d,,,f,?,q,&a,e,K,t*,i@,h,@t,j,*u,"o,i","*t,c","t,e&"
e,m,*a,t,O,,?#,@a,m@,e,#m,T@,j&,D,t,j,u&,"c,i","T,U",
p,*m,a,v,l&,&f,a,q,b@,*e,m,t&,i#,,*u,h,u#,"#c,i","&d,w","b,e"
e,m#,#A,v,o*,,a,@e,t,@E,U*,&t,j&,@d,t,h  @,u,"C,J","t,u","t,o"
p,c,@D,V#,l,f,#?,,,e*,@k,t,i&,j,t*,& j ,@u,"@o,i","T,C","t,e"
p,*a,a#,V,l@,j,a,&e,T*,e,N,t&,j&,,*t,j*,& u ,"o,j","t,u#","b,o&"
p,d,d@,v,,,*?,,A,e#,u,t,*I,h*,t,* h ,,"o,i","t,c","t,e"
e,* t ,&a,t,O,j&,&?,i,#M,&e,m,t,i,*D,t,e@,*u,"c,i@","t,u&"," t,e *"
e,t,a,t,o,@j,?*,a,t,e,m,#t,i,d,*t,e,@u,,"T,U","t,e"
p,d,*d,V,l,&f,?,i,a@,&e,w*,#t,,,t,h&,@u,"o,i#","t,c@","t,e"
e,&c,a*,,L*,,,#e,u,E,k*,t@,j,&d,t*,#e,u*,"o,j","*u,u",
e,d,@a,@v,L,&h,@a,e,n,e,*k,,,,m,#H,U,"O,J#","m,u","i,o"
p,,d,v,@l,f@,?,e&,a#,E,W,t,#j,*h,u#,h,u,"o,j","u,c","T,E"
e,,#a,V#,l,h,a,e,n#,,k,T,j,d#,#t,h,U@,"o,j","m,u","I,O&"
p,,d,V#,l,f,#?,e&,&a,e,u,#t,i,h&,u&,h,u,"o,j","t,c","t,e"
p,a,A*,#V,&o,f,&a,a,&M,e@,m,t,j,d,t,@h,u,"c,j","t,u",
p,,D,,l,@F,?*,q,a@,e,&k,&t,,@h,t,J,u,"o,i","t,c","t,e"
e,c#,a,v,l,h@,a,@q,t,e&,&K,@t,j&,d,*m,h#,,"&o,j","u,u","i,o"
p,c@,d,@v,l,f,#?,#q,a#,E,u#,@t,i,@ j ,,j#,u#,"o,i@","u,c","t,e"
e,m  *,a&,v,l&,&h,*a,E,,,k,T,J*,@D,m,e,u,,"U,U*","d,o"
e,@d,a,@v,l*,,#A,q,*t,e  &,K,t&,#j,@d,t*,e,U#,"o,j@","t,u","@d,o"
p,*C,d,*v,l,&f,?,q,a*,e,,T,j,#e,u,j,u,"o,j","u,c#","@t,e"
e,d,a,v#,l,*f,?,a,d#,p,w@,L,j  *,D,l,*j,*u,"C,J","l,u#","d,e&"
e,c,a,v#,l*,H*,A&,q@,n,e#,*k,T,j,d*,t#,h#,u,"#o,j","t,u","d,o  "
e,m  *,A,v&,l,h  ,,e@,n,,k,@T,j*,D*,t,e,u#,"o,j","u,u@","i,o"
p,d,d@,v,,&f,#?,,A&,#e,K,T,j,h,u,j,#u,"o,i#","u,c","&t,e"
p, c *,d,v@,l,f#,*?,i,@A,E,&u,#t,i,*h,u#,h,u," o,j ","u,c@","t,e"
p,&d,d,V,L,f,,q@,a,e,*w,t@,#j,j#,u,j#,@u,"o,j","u,c#","t,e"
e,m  ,a@,v,l,&f,,q,t@,e&,k,T,j@,d,&u,e,#u,"o,j","@t,u","#d,o"
p,#c,&d,,l,*f,?,i,a,,k,t,j&,@j,,J&,u,"&o,i","&U,C","T,E"
e,#C,a@,v@, l ,f,*a,,&u,E,k,t,,,m&,e#,,"@o,j","u,u","d,o"
p,d,d,v,,&F,?,q,a,@e,k,t&,&j,&e,U&,j,u@,"@o,i","t,c","&t,e"
e,m,*a,t,o,,?,q,u,e,m,t,I,d*,t#,*j,u,,"t,u","T,E"
e,#d,&a,#t,l,@p,,q,#i,e,m,t&,e,d,t@,e,u  ,,"t,c@","D,E*"
p, M ,a,v,&l,j*,A*,&q,,e,m,t,*e,e,&t,j,,"o,e@","@t,u","b,o#"
p,d@,a*,v,*d,v,v,e,*t,p,k, t ,*h,y*,v,h,U,"c,i","v,d",
e,d*,#a,v@,@l,h*,*a,q&,t,e,@k,t@,j,d,u,h@,U,"o,j*","t,u#","#D,O"
e,#M,A,t,o,&d,&?,q,t&,,m@,#t,&i,@D,t,*e,U,"c,j","t,u&","t,e*"
e,M&,,v,@l,,*a,@q,t#,e,k,T,j,d,t@,,u,"#O,J","u,u&","D,O"
p,,d,,l,f,,i,@a,e,k,T,j,@H,#U,h,,"#O,J","&t,c","t,e#"
e,d,a@,,l,&H,,e,n,@e,k,t,j,d,*u,h,u  #,"o,j#","#t,u","d,o"
p,h,* a ,,l*,#f,a,e,m,,K,T&,,&e,d,h,@u,"c,i","@u,w","*b,e"
e,,a@,,o,&d,?&,Q#,U,,m,#t,*j,d,t,j#,u#,"c,i","#t,u","t,e"
e,@c,a,v#,&l,F,&a,q,u*,@e,k,#t,j&,* D ,T,&h,,"o,j#","m,u&","i,o*"
p,*d,,&V,l#,f,?#,i,&a,e,,t,&i,#j,t,h,u,"o,i#","u,c","t,e"
e,m,a#,&T,o&,*D,?*,q#,u,*e  ,#m,t&,@I,#d,#t,,u,"*c,i",,"@t,e"
p,M,D,v,&l  ,#j,,q@,@d,e#,,,j,v,t,j@,u*,"c,j","&t,u",
e,h,@a,,l,#d,*v,a&,m,e*,y*,t,*J,w,t,j,@u,"&C,J",,"#D,O"
p,c,&d,v*,l,&f,&?,i,a,,k#,t#,i,e,t,h,&u,"o,i","T,C","t,e"
e,d,#a,&v,o#,v,?*,E&,t,e#,&t,t*,&j,d,*c,J,u,"c,j","*c,c","t,o"
e,T  &,&A,@t,&o,d  #,?,q,m,*e,M@,T@,,d,@t,,u@,"c,j","t,u","t,e"
e,C  &,A,v,l#,f,@a,e*,&t,e*,k*,,j&,,,e,U&,"&o,j","t,u*","i,o"
p,m,D,&t,l,*f,a,Q,d,e,k  ,&t,,v,t@,e,#u,,"T,U&","i,e"
e,m,#a,@V,l*,f*,a,e#,d,e,k,,j,,t,,u&,"o,j","#M,U","I,O#"
e,m,a  ,,l#,p,c,e*,b@,e,m@,t,j,&d,#t,J,u,"o,e  ","&T,C","I,E"
p,d*,,,l,f,@?,q,@a,e,@w,t,j,h,T,@j,U,"o,j*","U,C#","t,e"
e,d,a,t,l#,@p,,q,i*,#e,M&,*t,e*,@d,t#,&j,&u,"@o,e","&t,c",
e,h,a  ,*v,L@,,v,a,,E*,y&,T,j&,p&,*t,*j,@u,"c,j","t,u","d,o"
e,m,,,L,*j,c#,@q,i*,e#,m  #,,e#,d,, j ,u,"o,e",,"i,e"
p,&m,A#,v,l,f,@a,e,m,e,&u,T,@i,&e,D@,&h,u,"c,i",,"#b,e"
p,*D,d&,v,l,f&,,#e,a,e@,*w,t,#i,j#,@t,j,u,"O,J#","&t,c","*t,e"
p,#c,d,v@,,,?,q,,@e,@w,&t,*J, e , u ,,u&,"o,j&","t,c","t,e"
e, m ,,t,,,c,E,@u,E#,&m,t,e,d*,*t,&j,,"o,e@","#t,c",
e,t,a,v,l,j,#v,a*,d#,e,m&,#t,j, P *,#t  ,h,,"c,j",,"d,o*"
e,d#,a*,v*,o,V,#?,,,e,&t,t#,j@,d&,t,&h,u,"c,j@","T,C#","t,o"
p,h*,a@,@v,l,h,a,*e,B,e,k#,t*,*i,*e  ,d#,h,U@,"c,i",,
e,c,A,v&,*l,*f,&A,q,t,E,k,*t,j,d,m*,e,u@,"o,j","@m,u","i,o*"
p,#h,a,v,l,f,#a,q,b&,&e,m,t,i,,D#,#h,u,"& c,i ","*a,w","@B,E"
e,d,a@,v,l,f,?&,q,L,p&,w,&d,,d,*l,j,u@,"c,j&",,"h,e#"
p,d&,D,*v,*l,#f,@?,Q,*a,e,w,t,@I, e #,u,h,@u,,"t,c#","t,e"
p,@c,d,@v,l,,,q&,&a,e,w,*t,j,,&u,#h,u&,"#o,i","u,c  @","*t,e"
e,h,a*,V@,l@,#d,v#,,t,e,#M,T,#j,p,t&,J@,u,"c,j","t,u&",
p,m@,a*,v,*l,h,&a,e,b, e ,k,,i#,e,u,e  #,u*," c,i #","a,w*","b,e"
p,c,D@,*v,#l,@f,*?,i,a,e,,t,j,e,t*,j,U,"o,i","t,c","t,e*"
p,d*,d,v,l,f#,*?,e,A,e,k,t,@J,&h,u,h,u,"o,j","u,c"," t,e "
e,d@,a,#V,,@j,z,*q,u,e,M  &,@t,h#,w,t,,&u,"c,j",,"I,O"
e,,A&,#v,@l,f,a,q,t,e,k,t@,,,,h,U*,"o,j&","m,u","d,o"
p,M,A@,v@,l@,h,a@,e@,*B,e,#M,t*,&i,e  ,a,@h,u,"*c,i","@d,w","b,e*"
e,M,a*,t,l,p,C@,*Q,U, e #,* m ,@t,e*,d@,t,j,u,"@o,e"," T,C ","d,e"
e,H,d@,t,L,,a,q,d&,#e,k*,t,@j,,t, e *,u,,"*t,u","n,o@"
e,h,,v,*l  , h @,,e  *,u,&e,#u,t#,h,w,t,*H,u*,"@c,j",,"#D,O"
e,D,a,#v,L,h*,a,@e,#T,E,k,t,j,d,#U,e,u,"o,j","t,u","#d,o"
e,c*,a,v,l,h,&a,#e,d&,e,k,t,j,d,,e,*u,"&o,j"," m,u #","&d,o"
e,,@a,v*,&o,*h,a,,T,, u ,t,*h,d,d,h,u#,,"d,u&","t,e@"
p,m,a  &,v,l*,h,a#,Q@,&b,e@,m,t,&i,E#,d,*e,@u,"c,i@","@D,W","b,e*"
p,C#,d,v@,&l,f,&?,q@,a,e,&k,,j,#j,#u,j,u,"o,j#",,"t,e"
e,m,@a,t@,,j,,Q@,M,#E,M*,*t,I,d,t@,j,u,"*c,j","T,U*","t,e"
e,,A,@t,O@,j,?,a@,U@,e,m,#t,J@,d@,t,j,U@,"c,i","t,u","t,e"
e,c,a,v,*L,h,#A,q@,u,e,k@,t#,,D,m,&h,&U,,"m,u","d,o@"
p,M  ,,v#,,f,a&,q*,B,e,@u,,i#,e,d,e,u*,"C,I","d,w","b,e"
p,T,&A,v,&o,f,a,e,z,e,m,t@,j,d,t  *,h,u,,"t,u","*z,o"
e,d*,a, v #,l,f,a,E,n,e,#k,t,j&,d*,,h,u,"O,J&","&u,u","D,O"
e,c,a,v#,,f,a,q&,t,e,k&,t,J,D&,u,h,&u,"o,j&","t,u@","d,o"
e, m ,a&,@t,o@,d,?,@a,@u,&E,m,T,j,d&,t&,e,u,"c,i&","t,u","t,e"
p,@c,d@,,l,,?*,i,A,e,u,T,j,@e,t&,h,u,"@O,J","u,c",
e,d*,a,&t,*l  ,p,c,*e,d,e,m,t,,d,t*,*e,,"@o,j","t,c#","D,E"
e,*d,a,t,l,,c,e,i@,#e  ,m#,,j,,& t ,j,u,"o,j","#T,C","&d,e"
p,m,,&v,,F,a*,e,u,#e,#m,,i,e,A,#h,*u,"c,i","a,w","#b,e"
e,t,a,,l,P,c@,q,i&,E@,m@,T*,j,d,&t,j,*u,"o,e","t,c@","*I,E"
e,*c,a,v,l  ,h  ,a,, n ,e,,t,#j,D,m,E,u,"o,j","#u,u","i,o*"
p,c,d@,v*,l,*f,#?,e,&a,&e,W,@T,j,h&,t*,h,u#,"#o,j","t,c","t,e"
p,*m,a,v@,*l,f,A,,m,E,#u,t*,i&,e#,#A,h,u,"c,i*","a,w*","b,e"
e,t,a,@t,l,J*,c,q@,I,e,m&,t,j#,@d,t,,,,"&t,c","#i,e"
p,,a  ,v#,l,@h,a,&e,b,,u&,@t,i,e,a#,e,u#,"c,i","u,w","b,e&"
p,d,*d,v,#l,F,?,,a,e&,,t*,J,e,,,u,"&o,j","t,c","t,e"
p,a,a,v,l,j#,A*,e,&t, e ,m,t@,j,e,@T,j,@u,"o,j",,"B,O"
p,c,d,v,l,*f,?,Q,*a,e,&k,#t,j,e,U@,j,u#,"o,i@","*u,c","t,e"
e,,,v  *,l,,Z  ,*e,t,E,m,T&,h,w,t*,h*,*u,"c,j@","t,u"," d,o &"
e,d,*a,*v,@l,h@,a,*e  ,*t,*e,k,t,&j,d,m&,h&,u&,"& o,j ","u,u","i,o  "
e,,#A,&V,L,j#,*z,e,@u, e ,m,#t,h,w,t,#h,u  ,"c,j","@t,u  ","i,o"
e,,d@,v,L@,f,@c,q, I ,e,n,t&,j*,d,@t,e#,u,,"t,u","D,E"
e,c,a,v,*l,&f,A@,&q,d*,e@,k,,j#,d,t,e,u,"o,j","&M,U","d,o@"
e,d,a&,v&,l@,V#,?,e,,p,W,d&,j&,,l,j,,"c,j#",,"&h,e"
p,a  ,a,v,l*,f,&a,q,u,,m,t,j,e,t,j,u,"*o,j","t,u@","&b,o  "
p,*c,D,&V,&l,,?&,#q,a&,E,w,T,j,e,t,#j,u,"o,i","t,c#","&T,E"
e,d,a@,&v,l,f,@a,e,d,e@,k,t,,D,u&,e  ,,"o,j","m,u","i,o&"
e,*h,,*v,l,d,,,d,e,*Y,@T,j,&w  ,t@,j,u,"C,J","t,u#","d,o"
e,,a&,v,l&,j*,@Z,,,e,&u,t,h,P@,,h,&u,"c,j  ","t,u","d,o"
p,h*,&a,V,l,,a@,@q,u,e,u,t,&i,*E,a,h,,"C,I","a,w","&b,e"
e,#c,a,,&l,f,,e*,t,e@,k,t,@j,d,t@,@e,@u,"o,j*","@m,u","d,o"
e,m#,A,&t,*l,p#,*C,Q@,&i,,m,t*,e,d,t#,j&,u  ,"o,e#","t,c","@i,e"
p,c,D,#v,L,f,?,e,a#,e,w#,*t,i,e,t,h,U,"@o,i","T,C","T,E"
p,m,a&,v,l,@h,a,q@,b,E,m,T@,i&,*e,a,e,u*,,"#d,w","@b,e"
p,#c,&d  ,v&,l@,F*,?@,,a*,e@,u,t,j,e,t*,*J,u,"&o,i","t,c#","t,e"
e,&d,A*,,l#,h@,A,,d,e#,,*t,j#,@d,t  ,E,u,"o,j","u,u","i,o"
e,d*,a,,@l,V#,,q#,,p,w,l@,j,@D,L,j@,u,"c,j","l,u@","d,e#"
p,C,&d,V  @,@L,f#,?,e*,A*,,k*,t,j,j,u,h#,u,"o,j","t,c*","t,e"
e,#C,a,v,l,f,,&e,n&,e&,,T,#j,,t,e@,U#,"o,j  ","u,u","i,o"
p,d,D*,v,l,@J,C&,e*,t,e,m,t,j,u,t,*j,u@,"c,j","t,u","#i,o"
p,d,d,V,l&,f,&?,e,a,e,k, T ,i,h*,u,j@,*u,"o,j","U,C  ","t,e"
p,,a,v,l  ,h,a,&e,*M,e,,t,i,e&,a,@e,u,"@c,i","d,w",
e,d,a,v,l&,*f  ,a,q,d,,*k,t,j,*d,T,,u,"*o,j","t,u@","i,o*"
p,d,*d,v,,,?,#q  ,A@,e,,t,i,*e,T,j&,U  &,"&o,j","*u,c","t,e#"
e,c,@A,v&,l@,f,&A,,*n,,*k,t,j*,& d ,m,#h,u@,"o,j*","m,u","i,o@"
p,D@,d,v,&l,f  ,?#,i@,a,E,u,T,i,e  ,u&,,,"O,I","u,c","t,e"
e,*T,a,T&,,#p,@c,,u,e&,m,&T,j,d@,t&,j  ,U  &,"o,j&","t,c","d,e&"
e,d,a,*v,l,,,e,U,e,u,t,h@,p,t,*H,u,"c,j","#T,U","d,o"
p,&t,a,#V,l*,f,a,q,u*,E,&m,#T,e&,,t#,&j,u,"#o,j","t,u","#b,o"
p,&t,#a,*v,l,j*,a,q,&u,e,#n,t, j ,@e,&t,j&,u&,"o,j*","t,u*",
e,*d,a,v,l,f&,@a,q,t,E, k *,&t,j&,d,t&,e#,u*,"o,j","t,u","i,o"
e,#c,A,&V,#l,h,A,e*,&n,&e,k,t,J,d,t&,&h,u,"o,j","*t,u","#i,o"
p,h,*a,#V,l#,h#,A,&e,m,@ e ,k,t,I  @,&e,@a,h  ,U&,"C,I","D,W","b,e*"
e,a,a*,@V,,,?#,I,, e #,t,,j,d,c, h ,,"c,j","@T,C",
e,m&,a,@v,*l,#F,a*, E ,,e,K&,t,j*,d&,#t,h&,u  #,"o,j",,"@i,o"
p,D@,D,@v,l,f,#?,*i,a,,U,T,j,j*,u,j,*u,"@O,J","u,c@","t,e"
p,m*,a,V*,l,f,*A, e &,&M  , e ,&m,t@,i,e,@u,*H,u,"C,I*","@d,w","b,e*"
p,d#,d,v,#L,f,?,q&,,e&,k,t*,I@,j,*T,h#,u@,"o,i",,"t,e#"
e,d,a,v,L,h,z&,&e,t,e,#m,t*,h@,p@,t,H,@u,"c,j","&t,u","@d,o"
e,c,* a ,@v,l,h,a,q,@d,e,k,T,,d,*m,e,u#,"o,j","@u,u","i,o"
p,d,d@,v,l,#f,?,q,a&, e &,,,i,h,t*,h@,u,"o,j","#t,c","t,e"
p,u,d,v#,l,F,a,&Q,#d,#E,,t*,j,,,E*,u#,"c,j","&t,u","d,e"
p,h,a,v*,,&f,#a,e,b,e,k,t,i#,&e,a,e, u &,"C,I","d,w","b,e"
p,, a &,@v,&l,*F,a,q  ,b,,,*T,i,e,a@,H,#u,"&c,i","#a,w","b,e"
p,,A,,l,f,a,e,u, e #,k#,t,,e,d,h  ,*u,"c,i","&u,w","b,e@"
e,D,a,*v,,,a*,*e,&t,*e,k,t,j#,d&,m,H,u,"o,j&","t,u&","@d,o"
e,H,a,@v,l,j,v&,q*,d,e,y&,@t,j#,w*,*t,H#,&u,"&c,j","#t,u","#d,o"
p,c,d@,v@,L,,?,q,a,e,W@,t,,&j,u,#j,u,"o,i@","T,C","t,e*"
e,u,a,V,@o  ,v,?#,i@,t,e*,T#,,j&,*d,c&,@J,u,,"t,c&","t,o@"
p, d ,#d,v,l#,f#,*?,Q&, a ,#E,k@,t,j*,j#,u,h&,u,"o,j&","t,c@",
p,t#,@d,v,@l,f*,c,E@,d,#e,M&,t#,*j,#u, t ,h&,*U,"c,j*","t,u","@d,o"
e,@D,&a,v#,l*,j,@z,q,U,@e,& u ,*T,h,p*,t,h&,u,"c,j","t,u*",
e,,# a ,v,l  #,d,*V,q,i&,E,m,*t,j,w,@T,j&,u,"*c,j","t,u","d,o@"
e,c,,,l,f@,a,@q,U,e,K#,&t  ,j,@D,T,*e,u&,"o,j#","&u,u","*i,o"
p,c,d,v#,,f*,,i&,#a,e,k,t,i,h#,t,j*,u,"o,i"," u,c @","@t,e"
p,m,@a,v@,L,,*A,E,u,#e,u,t,i#,e,d,E,&u,"c,i&","A,W","b,e"
e,d@,a@,#v,l,v,&?,e@,d,p&,w@,d,j*,,l&,j*,*u,"c,j","l,u","h,e"
e,* t ,d#,*t,l  ,f@,a#,e*,t*,e,@k,t,&j,p@,t&,j,,"*o,j  ","t,u","n,o"
p,c,,v,l,f,?@,e,a,e,&u,T,&i,*j,t*,#h,u#,"o,j","u,c&",
e,D,,v#,l,#h,A,*Q,, e ,K*,t,j,d,m,h*,u,"o,j*",,"i,o"
p,m*,a,v,L*,f,a#,#q,B&,&e,u,t,&I,e,a,#h,u,"@c,i","D,W","b,e*"
p, A ,a, v *,l,f*,#a,*q,u,@e,n#,t,e,,t,j,u,"o,e","t,u","b,o"
e,c,@a,v,l#,*h  ,a,#q,u,@e,k#,,&j,d,u,@h,u,"o,j*","t,u","I,O"
p,M,#a,&v,L,,a,q*,*m,E@,k&,t*,*I,e,U,h&,u#,"c,i@","a,w","b,e"
p,m,#a,v,L,#f,,e,U,e*,&U,,&i,&e,a,@E,u@,"c,i#","d,w@","b,e&"
p,*d, d ,*v,,f,?,q,#a,*e,,*t,J,#E,t,*h,@u,"o,j*","t,c","t,e"
p,m,&a,v,l,F,*a,q,*b,E,u#,,,e&,a,h,u,"c,i","u,w*","b,e"
e,&d,a,v#,l,*h,a#,e#,d@,e,k,t,&j,D,t*,h*,u&,"o,j","m,u*","d,o"
p,d,d,v,&L,@F,?&,,t,@E,k*,@t,h&,D,t,*h,u,"c,i","@h,c","t,e"
e,t&,A@,t#,o,,*?,&i,&t,e@,M,t,@j,D,t@,#e,@u,"C,I","t,u","t,e&"
e,c,*a,,,f&,a,q,n#,#e,k&,,j,d#,t,h,u#,"o,j","m,u*","d,o"
p,m*,a,v@,l,f,A,q,m,,#u,t,,e,*d,h*,u&,"#c,i","U,W#","b,e"
e,d&,A,v,,@h,a*,,t*,*e,k,t,,d,t,e,U,"o,j*","m,u","D,O"
p,c,D,V*,l,f,?#,,a,,# U ,&t,j@,&h,u*,*j,u,"o,i","u,c&","t,e"
e,m,#A,&t,#L,p,c,Q,,*e,@M,,&j,d&,#t,e,U&,"o,e","#t,c","#i,e"
p,c,d,v&,,,#?,i,a,,w,t,#j,@j,,j*,@u,"&o,j","t,c","t,e@"
p,&c,d@,v,@l,*F,#?,&e,a,e,K  #,t,,e,,j,u@,"o,j&","t,c","t,e"
p,,a, v @,&l,h,A,,M,E,u,,*i, e , d ,e,@ u ,"&c,i","#D,W","b,e#"
e, C *,a,v,,h,*a,e&,n,e  &, k ,t  ,j,d#,,e,u,"#O,J","#m,u","D,O"
e,u,a,v#,o@,h,a  ,@E,t#,E  ,@u,t,#j,d,t,j,@u,"c,j","T,U&","t,o"
p,h,#a,#v,l#,f#,*a,e,m,e,k,t@,i,&e,u,e*,,"*c,i","a,w&","@b,e"
e,d@,#a,v, l *,v,?,q,#l,P,#w,L#,@j,d,l,j@,U,"c,j#","L,U",
e,@h,, v ,,d@,v,q,d,#e,y*,,,@w,t&,&j,u,"&c,j","t,u","I,O"
e,@d,d,*t,l,f  *,A,,@t,@e,w,t&,e*,d@,@T,#e,u,"&C,J",,"t,e"
e,d,a@,V,L,,a,e,,,k,t@,@J,d#,U,e,u&,"o,j","u,u#",
e,v@,d,t#,l,*f,a#,e&,@t,e@,#W,#t,J,#d,T@,e,u,"#c,j","d,c@","T,E@"
e,d,A,v@,,,z,,U,e,M,@t,h&,p,*t,h,u,"c,j","T,U","d,o"
e,c,&a,#v  ,l@,@f,a,e  ,u,e,k#,t@,J@,d#,t,h,,"*o,j","m,u@","i,o"
p,h,a,*v,l,f*,a#,,,E,k,t*,i,E@,a*,h*,u#,"c,i&","#a,w",
e,M, a &,*v,l,*h,,e,d,e,,* t ,j@,&d,u,h&,u,"o,j",,"@d,o"
e,d,a,v,L,h,, e ,n,e,k,t@,j,,@m,@e,U,"#o,j",,
e,#t,A#,v,L#,#j,v,a,d&,e@,@m,t#,J#,,,j,u,"#c,j","t,u&","d,o"
p,@d,&d,v*,l,f,#?,i,a#,E@,u,,i@,,*t,j,u,"#o,j","u,c#","t,e"
e,m,A#,#v,@l,h,a,,U@,e&,,t,j  ,d*,&u,H&,,"O,J","u,u","D,O"
e,,&A,V#,l,h@,#a,e@,d,e,k#,t@,,d&,M,h,#u,"o,j","u,u","d,o"
p,m@,a@,v  &,#l  ,h,a,*e,u*,e,k,,i@,&E,,h,u,"c,i","u,w","*b,e"
p,H, a #,v,L,h@,a*,e,&b,,K,*T,i,e&,u&,h,*U,,"a,w","@b,e"
p,@c,D*,v,l,*f,?,e,,E,w,t*,&j,j,&t,j,U,"o,i","u,c  *","t,e"
e,d@,a,V&,L,f,#A,,u@,e,k,t,j#,d,@m,e&,U,"o,j",,"@d,o"
e,&d,*a,v&,l,v&,,a*,d,P,W,l,j@,,@l,j,#u,"c,j","l,u","d,e@"
e,#c,,v,@l, f @,a*,@E,&d,e,@k,&t,J,d,& u ,*h,u,"O,J","u,u&","d,o"
p,h,,v,l#,f,&a,@q,u&,E,K,@t,I#,e,u,h&,u&,"&c,i","d,w","&b,e"
e,#t,@a,&t,,#p,c,q#,b,*E,M*,t*,j@,d@,t,E@,,"o,e#","t,c*","d,e"
e,t*,a,@v,l,j&,V  ,Q,i&,,y,t&,*j,&w,T  ,j,u,"c,j*","T,U#","#d,o"
p,T,D,V#,,*j,,#Q,u#,@E,n,t&,j,u,t,h&,u,"c,j","*T,U",
p,m@,a,v,l,h,A,&q,,E*,u@,#t, i #,e,U@,#h,u,"c,i","A,W","B,E*"
p,t@,#A,*V,l,f,a,e@,b*,@E  ,m,t, J ,,t*,j,#u,"*o,j  ","#t,u","b,o"
e,M&,a,,l,H,a,q,n,e,#K,t,j,D,,h,#u,"&o,j","@u,u","i,o  "
p,,A,v,L&,f,&a,e,b@,e&,k,t&,i,,A#,#h  ,#u,"#c,i","u,w","#b,e"
e,d,a*,#v,#L,v*,?,#a,*l,p,,l#,j,d,,,U*,"C,J#","&L,U","h,e*"
